BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
38.27909091,3.431818182,447.1354545,0.781818182,329.1427273,1.828181818
40.19727273,3.384545455,447.17,0.79,329.53,1.92
40.73583333,3.411666667,446.6566667,0.79,329.65,1.963333333
40.66090909,3.398181818,445.7154545,0.79,329.4463636,1.958181818
41.20166667,3.358333333,444.7891667,0.7875,329.3325,1.965833333
41.544,3.353,443.704,0.78,328.945,1.999
43.33727273,3.349090909,442.5754545,0.78,328.3445455,2.090909091
43.60333333,3.353333333,441.83,0.78,327.6283333,2.108333333
44.19583333,3.359166667,441.4383333,0.789166667,327.1658333,2.136666667
44.231,3.361,441.39,0.79,326.894,2.129
44.28272727,3.357272727,441.53,0.793636364,326.8209091,2.120909091
45.01555556,3.328888889,441.8188889,0.8,327.0833333,2.137777778
45.415,3.334166667,442.2533333,0.801666667,327.38,2.16
46.378,3.288,442.46,0.803,327.989,2.185
46.158,3.287,442.431,0.8,328.221,2.189
46.51,3.264444444,442.4755556,0.795555556,328.3866667,2.198888889
46.889,3.252,442.48,0.794,328.539,2.215
47.21818182,3.241818182,442.44,0.799090909,328.61,2.227272727
47.11181818,3.248181818,442.13,0.797272727,328.6390909,2.226363636
47.1,3.251,441.76,0.796,328.587,2.227
46.64636364,3.269090909,441.4663636,0.79,328.3645455,2.213636364
46.22545455,3.268181818,441.2663636,0.79,328.1990909,2.196363636
46.092,3.288,441.26,0.79,327.95,2.207
46.17,3.262727273,441.1581818,0.79,327.7481818,2.196363636
46.59636364,3.251818182,441.2390909,0.79,327.7045455,2.211818182
46.91636364,3.256363636,441.0963636,0.792727273,327.7045455,2.221818182
47.118,3.245,441.17,0.8,327.724,2.215
46.75666667,3.276666667,441.1422222,0.801111111,327.8811111,2.21
47.169,3.247,441.076,0.81,328.103,2.205
47.55727273,3.250909091,441.0390909,0.81,328.3154545,2.233636364
47.135,3.271666667,440.8891667,0.806666667,328.3533333,2.224166667
46.656,3.254,440.83,0.8,328.302,2.195
46.583,3.275,441.133,0.8,328.272,2.209
46.30181818,3.262727273,441.33,0.8,328.2809091,2.178181818
46.23333333,3.278888889,441.4744444,0.8,328.3011111,2.185555556
46.30166667,3.258333333,441.4716667,0.8,328.4683333,2.1675
46.27181818,3.275454545,441.5754545,0.800909091,328.6745455,2.179090909
45.9,3.271,441.76,0.8,328.696,2.16
46.26454545,3.275454545,441.7390909,0.8,328.7345455,2.191818182
45.99272727,3.28,441.7663636,0.8,328.66,2.174545455
46.40727273,3.268181818,441.53,0.8,328.6245455,2.186363636
43.75909091,3.318181818,441.3127273,0.790909091,328.5109091,2.078181818
41.75545455,3.279090909,441.1236364,0.773636364,328.2563636,1.972727273
40.43083333,3.325833333,441.0925,0.749166667,327.8633333,1.970833333
38.53545455,3.383636364,441.1963636,0.716363636,326.73,1.949090909
38.90727273,3.411818182,441.7754545,0.692727273,325.17,2.049090909
41.59727273,3.388181818,442.5854545,0.686363636,322.9063636,2.244545455
44.23666667,3.340833333,443.2191667,0.69,321.285,2.3775
45.71833333,3.295833333,443.465,0.69,320.2283333,2.444166667
47.17666667,3.254166667,443.2275,0.69,319.6816667,2.506666667
48.12363636,3.23,442.82,0.692727273,319.3436364,2.571818182
50.881,3.238,442.266,0.704,318.547,2.797
51.34166667,3.275833333,441.955,0.71,317.375,2.86
52.34272727,3.307272727,441.8845455,0.720909091,316.4090909,2.949090909
53.509,3.293,442.159,0.737,315.829,3.014
53.65272727,3.303636364,442.3745455,0.755454545,315.6463636,2.985454545
53.79363636,3.289090909,442.42,0.77,316.1527273,2.94
51.924,3.339,442.009,0.775,317.045,2.77
51.8775,3.3175,441.4883333,0.789166667,318.3166667,2.716666667
50.461,3.325,441.162,0.79,319.455,2.582
49.8075,3.275,440.7816667,0.79,320.7641667,2.494166667
49.843,3.262,440.29,0.79,321.704,2.483
49.79454545,3.237272727,439.8090909,0.79,322.36,2.456363636
50.27636364,3.225454545,439.7590909,0.799090909,322.8872727,2.464545455
50.21272727,3.222727273,439.9172727,0.806363636,323.5109091,2.441818182
50.91833333,3.215,440.365,0.815,324.1758333,2.469166667
51.17111111,3.211111111,440.6177778,0.821111111,324.8088889,2.472222222
50.74090909,3.229090909,440.9036364,0.827272727,325.3836364,2.428181818
46.14916667,3.354166667,441.2733333,0.814166667,326.2766667,2.210833333
44.15333333,3.363333333,442.0033333,0.806666667,326.9316667,2.113333333
43.982,3.312,442.86,0.806,327.609,2.066
44.46636364,3.288181818,443.0381818,0.805454545,328.3509091,2.079090909
45.05666667,3.2625,442.4966667,0.8,328.73,2.0975
44.478,3.295,441.64,0.795,328.748,2.108
44.73,3.268,440.996,0.787,328.342,2.116
43.78454545,3.300909091,440.8581818,0.770909091,327.8036364,2.116363636
43.3,3.266363636,441.0081818,0.758181818,327.0745455,2.090909091
43.77545455,3.234545455,441.6481818,0.744545455,326.6045455,2.12
44.14727273,3.240909091,442.4590909,0.734545455,326.2154545,2.173636364
43.83363636,3.247272727,443.1536364,0.718181818,325.7727273,2.192727273
42.607,3.275,444.023,0.701,325.084,2.18
41.5975,3.289166667,444.8141667,0.684166667,324.27,2.168333333
42.06181818,3.313636364,445.7263636,0.68,323.4563636,2.241818182
45.79083333,3.289166667,446.5733333,0.681666667,322.4541667,2.483333333
50.41916667,3.23,446.8066667,0.695,321.3425,2.789166667
52.043,3.187,445.995,0.702,320.117,2.881
52.29416667,3.203333333,444.5566667,0.71,318.8816667,2.911666667
52.75636364,3.193636364,443.0745455,0.71,317.7890909,2.933636364
52.826,3.225,441.95,0.714,317.022,2.957
52.82363636,3.274545455,441.3481818,0.717272727,316.02,2.995454545
52.126,3.336,441.15,0.712,315.12,2.97
49.99,3.3925,438.435,0.79,318.35,2.58
49.8275,3.348333333,439.025,0.790833333,318.8566667,2.540833333
50.51,3.3225,439.87,0.799166667,319.8216667,2.565833333
50.6725,3.303333333,440.715,0.8025,320.7883333,2.5575
