ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.,ExtCondensTurbineOP.,ExtCondensTurbineOP.
65.06166667,21.365,8.9625,,,
64.45583333,21.0325,8.953333333,,,
66.425,22.83833333,9.096666667,,,
66.82083333,24.14083333,9.0375,,,
66.45166667,24.5525,8.948333333,,,
67.64583333,26.89,8.944166667,,,
67.59,26.76166667,8.898333333,,,
67.60083333,26.59416667,8.91,,,
67.1075,26.2225,8.855,,,
67.71333333,26.9425,8.86,,,
68.59083333,28.30333333,8.915833333,,,
67.27916667,27.3875,8.771666667,,,
68.82583333,28.74916667,8.858333333,,,
67.45416667,27.8825,8.749166667,,,
69.00666667,28.53416667,8.9,,,
67.195,27.07666667,8.8025,,,
67.7125,28.03583333,8.879166667,,,
68.60916667,28.11083333,9.084166667,,,
68.15916667,27.00666667,9.253333333,,,
68.48083333,27.61083333,9.340833333,,,
68.87416667,28.1425,9.368333333,,,
73.41416667,30.4975,9.945,,,
76.23333333,30.4,10.4275,,,
76.45166667,30.75166667,10.32666667,,,
78.66083333,31.55916667,10.68166667,,,
76.15,29.33166667,10.36666667,,,
74.875,28.83083333,10.13583333,,,
73.875,28.6775,9.941666667,,,
73.50833333,28.31666667,9.8775,,,
74.08166667,28.9625,9.963333333,,,
73.60666667,28.13666667,10.01666667,,,
73.7025,29.02,9.915833333,,,
71.26916667,27.28833333,9.6,,,
74.7675,32.20583333,9.873333333,,,
75.46666667,33.83333333,9.851666667,,,
74.78583333,33.465,9.709166667,,,
74.06,32.94916667,9.596666667,,,
73.89166667,32.845,9.521666667,,,
73.96,31.70666667,9.68,,,
74.81166667,32.02,9.856666667,,,
74.495,28.92916667,10.11166667,,,
74.61833333,28.14666667,10.28666667,,,
74.755,28.77833333,10.22583333,,,
74.97166667,28.74916667,10.25583333,,,
78.36916667,30.4575,10.57416667,,,
81.60666667,34.00833333,10.73666667,,,
89.25333333,34.46833333,10.83,,,
83.06833333,34.14083333,10.51166667,,,
86.01916667,34.7525,10.42083333,,,
84.49166667,33.1775,10.365,,,
78.56083333,33.37166667,10.2975,,,
77.79833333,32.84083333,10.29333333,,,
77.4225,31.115,10.49416667,,,
76.74833333,29.985,10.46666667,,,
76.75636364,29.00272727,10.77818182,,,
76.7575,26.855,11.11,,,
77.045,27.11333333,11.16583333,,,
77.12666667,26.9325,11.18,,,
77.31333333,27.93416667,11.10166667,,,
78.0025,27.94416667,11.3475,,,
79.31666667,27.9025,11.67166667,,,
82.60833333,31.26916667,11.8675,,,
83.89666667,32.055,11.91333333,,,
83.1425,30.84,11.795,,,
83.24333333,30.625,11.725,,,
82.85166667,29.75583333,11.65166667,,,
81.94833333,28.9925,11.5375,,,
81.9925,29.21,11.5175,,,
81.91916667,29.16,11.48916667,,,
81.18083333,28.3325,11.41166667,,,
80.7725,28.665,11.34166667,,,
80.03333333,28.495,11.20916667,,,
78.2375,28.27916667,10.99916667,,,
88.47333333,30.46416667,11.13166667,,,
82.00833333,27.29916667,10.87416667,,,
76.86166667,27.115,10.8275,,,
76.77166667,26.68,10.85666667,,,
76.48083333,26.21166667,10.86166667,,,
77.54916667,27.37333333,10.93166667,,,
76.90916667,26.1575,10.94916667,,,
76.43083333,25.325,10.95666667,,,
76.76416667,25.71833333,11.04083333,,,
77.01833333,25.95083333,11.04333333,,,
77.79833333,27.25083333,11.02916667,,,
78.31416667,28.13666667,11.00666667,,,
79.00833333,29.49583333,11.0125,,,
79.52416667,29.9125,11.02416667,,,
81.60916667,29.71166667,10.9475,,,
86.4175,29.05916667,10.89416667,,,
76.32916667,25.4325,10.61083333,,,
74.48583333,25.72666667,10.56083333,,,
74.78833333,24.88583333,10.69416667,,,
74.67083333,24.605,10.745,,,
74.87363636,24.21090909,10.87818182,,,
75.7175,25.18583333,10.94916667,,,
75.9525,25.05666667,11.05083333,,,
76.25666667,26.27083333,11.035,,,
76.56833333,25.70916667,11.09416667,,,
76.52666667,24.51333333,11.13583333,,,
77.22166667,26.07833333,11.195,,,
77.23916667,25.765,11.26833333,,,
77.4675,25.805,11.31416667,,,
77.6325,25.30833333,11.36416667,,,
