ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
83.035,3.369166667,435.28,35.09666667,0.759166667,312.2808333,-86.96916667,47.77083333,11.2425
82.925,3.355,434.6,34.94,0.760833333,312.6775,-86.9725,47.68666667,11.19
83.43,3.333333333,433.675,34.57333333,0.763333333,313.3458333,-86.95,47.69333333,11.27666667
82.28,3.351666667,432.6716667,33.60166667,0.76,313.27,-86.93166667,47.66583333,11.22833333
82.195,3.356666667,431.9775,33.6825,0.7625,312.6658333,-86.96833333,47.73833333,11.215
82.59416667,3.359166667,431.7258333,33.08166667,0.765833333,313.3666667,-86.92166667,47.66583333,11.35083333
82.62,3.376666667,431.8391667,32.89,0.768333333,312.9575,-86.87916667,47.65833333,11.4025
82.59,3.390833333,432.285,32.67666667,0.77,312.3216667,-86.91166667,47.7125,11.42833333
82.94416667,3.409166667,432.9683333,33.47083333,0.77,312.1166667,-86.98916667,47.7175,11.47166667
82.95416667,3.405833333,433.6833333,32.8175,0.77,312.1208333,-86.94416667,47.75583333,11.54416667
83.13,3.4175,434.2866667,33.31833333,0.77,312.07,-86.92583333,47.6625,11.5225
83.035,3.41,434.8741667,32.33,0.77,312.0433333,-86.91916667,47.67333333,11.56666667
83.25666667,3.424166667,435.4825,32.56166667,0.77,312.07,-86.8675,47.61166667,11.61583333
83.20166667,3.418333333,435.995,31.65416667,0.775,312.1975,-86.8025,47.66166667,11.69666667
83.13833333,3.424166667,436.2841667,31.72166667,0.78,312.5858333,-86.76666667,47.725,11.71833333
83.19083333,3.435833333,436.7266667,31.32416667,0.78,313.0783333,-86.71833333,47.78666667,11.7825
