eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
0.353333333,0.3925,0.0175,-0.034166667,0.215833333,-0.06
-1.214166667,-0.569166667,-0.1325,-0.7025,-0.2175,-0.044166667
0.319166667,-0.010833333,0.050833333,-0.12,0.239166667,-0.005833333
0.381666667,-0.379166667,0.069166667,0.696666667,-0.890833333,0.086666667
-0.748333333,-0.483333333,-0.055,-0.5425,-0.599166667,0.029166667
-0.253333333,-0.581666667,-0.0125,0.335,0.074166667,0.084166667
-0.4075,0.090833333,-0.030833333,-0.0525,-0.2075,0.04
0.7225,-0.035833333,0.0825,0.215,0.326666667,0.089166667
-1.4475,-0.996666667,-0.114166667,0.1425,0.175,0.029166667
0.655,0.653333333,0.055,0.01,-0.328333333,0.059166667
0.833333333,0.481666667,0.100833333,0.150833333,-0.014166667,0.000833333
-0.505,-0.068333333,-0.123333333,-0.076666667,0.75,-0.045833333
0.8775,0.8,0.12,-0.068333333,-0.1,0.0175
-0.360833333,0.069166667,-0.06,-0.1125,0.5025,-0.054166667
1.036666667,0.280833333,0.118333333,0.279166667,-0.1825,0.044166667
-1.058333333,-0.595,-0.141666667,-0.235,0.405833333,-0.040833333
0.1525,0.338333333,0.0575,-0.009166667,-0.1275,0.04
0.446666667,0.1525,0.024166667,-0.023333333,0.186666667,-0.01
-0.6925,-0.26,-0.069166667,0.116666667,0.131666667,0.011666667
-0.2325,0.026666667,0.025,0.083333333,0.263333333,0.0475
0.2425,0.205833333,0.02,0.098333333,-0.173333333,0.023333333
1.769166667,0.8325,0.1925,0.1025,-0.218333333,-3.55E-15
-1.745,-0.640833333,-0.1825,-0.436666667,0.361666667,-0.1
0.415,0.425833333,0.004166667,0.095,0.043333333,-0.035
0.220833333,0.115833333,0.0075,-0.004166667,0.281666667,-0.0075
1.355,0.701666667,0.140833333,0.746666667,-0.219166667,0.045833333
-0.341666667,0.088333333,-0.095833333,-0.5375,0.81,-0.135
-0.035,0.401666667,-0.05,-0.439166667,0.264166667,-0.075833333
0.259166667,0.455833333,0.038333333,0.140833333,-0.076666667,-0.005
0.094166667,0.129166667,-0.0175,-0.1575,0.2275,-0.043333333
0.981666667,0.528333333,0.116666667,1.555833333,0.32,0.08
-0.643333333,-0.4725,-0.0775,-0.5325,-0.4725,-0.053333333
-0.306666667,-0.2125,-0.0525,-0.1125,0.628333333,-0.059166667
0.620833333,0.376666667,0.080833333,0.353333333,-0.395,0.030833333
-0.115833333,-0.054166667,-0.0075,0.713333333,0.0875,0.056666667
-0.608333333,-0.496666667,-0.060833333,-0.811666667,-0.7925,-0.065
-0.168333333,-0.049166667,-0.066666667,-0.558333333,0.144166667,-0.083333333
-0.430833333,-0.115833333,-0.0275,-1.041666667,0.1725,-0.040833333
0.104166667,0.025833333,0.038333333,-0.030833333,-0.255,0.0375
0.778333333,0.161666667,0.128333333,1.965833333,0.31,0.1975
-0.710833333,-0.346666667,-0.05,-1.028333333,-0.525833333,-0.079166667
-0.340833333,-0.359166667,-0.055833333,-0.6925,0.154166667,-0.0475
-0.063333333,0.080833333,-0.010833333,0.165,-0.113333333,0.0525
0.5275,0.130833333,0.105833333,0.266666667,-0.1625,0.1075
0.445833333,-0.045,0.0625,0.58,0.2675,0.039166667
-0.453333333,-0.164166667,-0.0325,-0.0975,-0.260833333,0.048333333
0.283333333,-0.280833333,0.055,0.276666667,-0.005833333,0.030833333
-1.0725,-0.644166667,-0.143333333,-0.69,-0.641666667,-0.011666667
0.276666667,-0.1525,0.045833333,0.151666667,0.07,0.080833333
-0.71,-0.460833333,-0.023333333,0.1975,-0.311666667,0.065833333
0.516666667,-0.09,0.069166667,0.0305,-0.193666667,0.077333333
-0.900833333,-0.726666667,-0.039166667,0.113666667,-0.889666667,0.052666667
0.589166667,-0.016666667,0.085833333,-0.845833333,-0.52,0.045833333
-0.149166667,0.068333333,-0.013333333,0.786439394,0.025757576,-0.037954545
-0.160833333,0.198333333,-0.036666667,0.036893939,1.087575758,-0.041212121
-0.369166667,0.369166667,-0.051666667,0.103333333,0.505833333,-0.018333333
0.348333333,0.306666667,-0.0375,0.105,0.42,-0.025833333
0.701666667,0.719166667,0.0675,-0.105,-0.1375,-0.024166667
0.230833333,0.4675,-0.010833333,0.016666667,1.0875,-0.054166667
0.969166667,0.5925,0.101666667,0.284166667,-0.37,0.003333333
-1.013333333,-0.163333333,-0.1325,-0.405833333,0.556666667,-0.089166667
-0.01,-0.059166667,-0.0125,0.06,0.118333333,0.044166667
0.575,0.2,0.065833333,0.0125,-0.360833333,0.030833333
0.211666667,0.125833333,0.043333333,0.033333333,0.373333333,0.019166667
0.039166667,-0.128333333,0.033333333,-0.018333333,-0.604166667,0.0125
0.05,-0.5625,0.020833333,0.063333333,-0.290833333,0.0225
-0.508333333,-0.420833333,-0.036666667,-0.063333333,-0.155,0.0425
-0.95,-0.921666667,-0.079166667,0.165833333,-0.681666667,0.019166667
0.2475,0.241666667,0.0325,-0.070833333,0.080833333,0.008333333
-0.8725,-0.629166667,-0.098333333,-0.123333333,0.19,-0.065833333
0.428333333,0.218333333,0.045833333,-0.019166667,-0.734166667,0.046666667
0.45,0.163333333,0.076666667,0.145833333,-0.116666667,0.013333333
-1.28,-0.594166667,-0.136666667,-0.2225,0.468333333,-0.073333333
1.210833333,0.605,0.130833333,-0.155,-0.226666667,0.004166667
-1.3,-0.644166667,-0.136666667,0.1275,0.331666667,0.0325
0.493333333,0.485833333,0.044166667,0.0575,-0.021666667,0.041666667
-0.353333333,0.2475,-0.0625,-0.016666667,0.676666667,-0.040833333
0.739166667,0.3525,0.065833333,-0.0125,-0.01,0.025833333
0.215833333,0.1275,0.025,-4.905,0.491666667,-0.01
0.7375,0.390833333,0.073333333,0.820833333,-0.658333333,0.045
0.378333333,-0.371666667,0.0875,2.501666667,-0.5625,-0.0525
-0.8025,-0.508333333,-0.114166667,-2.5475,0.115,0.0275
-0.014166667,-0.244166667,0.006666667,1.490833333,-0.6825,-0.026666667
-1.3075,-0.494166667,-0.173333333,-2.285833333,0.518333333,-0.021666667
0.625,0.3425,0.058333333,4.870833333,-0.328333333,0.02
0.666666667,0.5575,0.089166667,-0.149166667,0.03,-0.046666667
-0.63,-0.4575,-0.106666667,-0.058333333,0.391666667,-0.069166667
-0.473333333,-0.0625,-0.054166667,0.019166667,-0.160833333,-0.016666667
0.195833333,0.210833333,0.023333333,-0.023333333,0.39,0.0025
0.94,0.6625,0.09,-0.123333333,0.0975,-0.024166667
0.581666667,0.679166667,0.064166667,0.361666667,0.436666667,-0.0625
0.304166667,0.185833333,-0.010833333,0.920833333,0.2875,0.0175
-0.271666667,-0.136666667,-0.033333333,-1.3225,-0.063333333,-0.133333333
0.2,0.230833333,0.0275,0.008333333,0.118333333,0.0075
-0.084166667,-0.1825,-0.036666667,0.426666667,-0.073333333,0.071666667
-0.46,0.028333333,-0.023333333,-0.821666667,0.051666667,-0.0625
-0.2625,-0.260833333,-0.040833333,0.395833333,0.069166667,0.050833333
-0.294166667,-0.035,-0.0025,0.079166667,0.193333333,0.064166667
-0.040833333,-0.304166667,0.001666667,0.0275,-0.695833333,0.060833333
-0.543333333,-0.625,-0.004166667,0.066666667,-0.745,0.076666667
1.5375,0.391666667,0.173333333,0.145,-0.325,0.06
-0.581666667,-0.575833333,-0.050833333,-0.100833333,0.285833333,0.0075
-0.398333333,-0.5325,-0.02,0.1075,-0.864166667,0.006666667
-0.97,-0.466666667,-0.109166667,0.061666667,0.460833333,-0.011666667
-0.4175,-0.125,-0.010833333,0.009166667,-0.523333333,0.0775
0.7225,0.030833333,0.0675,0.035833333,-0.108333333,0.013333333
0.208333333,0.301666667,0.021666667,-0.056666667,0.015,-0.005
0.281666667,0.2075,0.036666667,0.015833333,0.463333333,-0.016666667
-1.230833333,-0.763333333,-0.116666667,0.023333333,0.078333333,-0.035
0.086666667,0.185833333,-0.004166667,-0.056666667,0.1125,0.048333333
0.655833333,0.171666667,0.130833333,0.044166667,-0.2525,0.065
-0.926666667,-0.759166667,-0.049166667,-3.935833333,-0.7075,0.0775
0.936666667,0.2975,0.08,1.494166667,-0.149166667,-0.0075
